"Adverse Events Category","AE/Supra-ordinate Term","Select AE","Grade","Description"
"GASTROINTESTINAL","Perforation, GI","Biliary tree",3,"IV fluids, tube feedings, or TPN indicated >=24 hrs; operative intervention indicated"
"GASTROINTESTINAL","Perforation, GI","Biliary tree",4,"Life-threatening consequences"
"GASTROINTESTINAL","Perforation, GI","Biliary tree",5,"Death"
"GASTROINTESTINAL","Perforation, GI","Cecum",1,"Asymptomatic radiographic findings only"
"GASTROINTESTINAL","Perforation, GI","Cecum",2,"Medical intervention indicated; IV fluids indicated <24 hrs"
"GASTROINTESTINAL","Perforation, GI","Cecum",3,"IV fluids, tube feedings, or TPN indicated >=24 hrs; operative intervention indicated"
"GASTROINTESTINAL","Perforation, GI","Cecum",4,"Life-threatening consequences"
"GASTROINTESTINAL","Perforation, GI","Cecum",5,"Death"
"GASTROINTESTINAL","Perforation, GI","Colon",1,"Asymptomatic radiographic findings only"
"GASTROINTESTINAL","Perforation, GI","Colon",2,"Medical intervention indicated; IV fluids indicated <24 hrs"
"GASTROINTESTINAL","Perforation, GI","Colon",3,"IV fluids, tube feedings, or TPN indicated >=24 hrs; operative intervention indicated"
"GASTROINTESTINAL","Perforation, GI","Colon",4,"Life-threatening consequences"
"GASTROINTESTINAL","Perforation, GI","Colon",5,"Death"
"GASTROINTESTINAL","Perforation, GI","Duodenum",1,"Asymptomatic radiographic findings only"
"GASTROINTESTINAL","Perforation, GI","Duodenum",2,"Medical intervention indicated; IV fluids indicated <24 hrs"
"GASTROINTESTINAL","Perforation, GI","Duodenum",3,"IV fluids, tube feedings, or TPN indicated >=24 hrs; operative intervention indicated"
"GASTROINTESTINAL","Perforation, GI","Duodenum",4,"Life-threatening consequences"
"GASTROINTESTINAL","Perforation, GI","Duodenum",5,"Death"
"GASTROINTESTINAL","Perforation, GI","Esophagus",1,"Asymptomatic radiographic findings only"
"GASTROINTESTINAL","Perforation, GI","Esophagus",2,"Medical intervention indicated; IV fluids indicated <24 hrs"
"GASTROINTESTINAL","Perforation, GI","Esophagus",3,"IV fluids, tube feedings, or TPN indicated >=24 hrs; operative intervention indicated"
"GASTROINTESTINAL","Perforation, GI","Esophagus",4,"Life-threatening consequences"
"GASTROINTESTINAL","Perforation, GI","Esophagus",5,"Death"
"GASTROINTESTINAL","Perforation, GI","Gallbladder",1,"Asymptomatic radiographic findings only"
"GASTROINTESTINAL","Perforation, GI","Gallbladder",2,"Medical intervention indicated; IV fluids indicated <24 hrs"
"GASTROINTESTINAL","Perforation, GI","Gallbladder",3,"IV fluids, tube feedings, or TPN indicated >=24 hrs; operative intervention indicated"
"GASTROINTESTINAL","Perforation, GI","Gallbladder",4,"Life-threatening consequences"
"GASTROINTESTINAL","Perforation, GI","Gallbladder",5,"Death"
"GASTROINTESTINAL","Perforation, GI","Ileum",1,"Asymptomatic radiographic findings only"
"GASTROINTESTINAL","Perforation, GI","Ileum",2,"Medical intervention indicated; IV fluids indicated <24 hrs"
"GASTROINTESTINAL","Perforation, GI","Ileum",3,"IV fluids, tube feedings, or TPN indicated >=24 hrs; operative intervention indicated"
"GASTROINTESTINAL","Perforation, GI","Ileum",4,"Life-threatening consequences"
"GASTROINTESTINAL","Perforation, GI","Ileum",5,"Death"
"GASTROINTESTINAL","Perforation, GI","Jejunum",1,"Asymptomatic radiographic findings only"
"GASTROINTESTINAL","Perforation, GI","Jejunum",2,"Medical intervention indicated; IV fluids indicated <24 hrs"
"GASTROINTESTINAL","Perforation, GI","Jejunum",3,"IV fluids, tube feedings, or TPN indicated >=24 hrs; operative intervention indicated"
"GASTROINTESTINAL","Perforation, GI","Jejunum",4,"Life-threatening consequences"
"GASTROINTESTINAL","Perforation, GI","Jejunum",5,"Death"
"GASTROINTESTINAL","Perforation, GI","Rectum",1,"Asymptomatic radiographic findings only"
"GASTROINTESTINAL","Perforation, GI","Rectum",2,"Medical intervention indicated; IV fluids indicated <24 hrs"
"GASTROINTESTINAL","Perforation, GI","Rectum",3,"IV fluids, tube feedings, or TPN indicated >=24 hrs; operative intervention indicated"
"GASTROINTESTINAL","Perforation, GI","Rectum",4,"Life-threatening consequences"
"GASTROINTESTINAL","Perforation, GI","Rectum",5,"Death"
"GASTROINTESTINAL","Perforation, GI","Small bowel NOS",1,"Asymptomatic radiographic findings only"
"GASTROINTESTINAL","Perforation, GI","Small bowel NOS",2,"Medical intervention indicated; IV fluids indicated <24 hrs"
"GASTROINTESTINAL","Perforation, GI","Small bowel NOS",3,"IV fluids, tube feedings, or TPN indicated >=24 hrs; operative intervention indicated"
"GASTROINTESTINAL","Perforation, GI","Small bowel NOS",4,"Life-threatening consequences"
"GASTROINTESTINAL","Perforation, GI","Small bowel NOS",5,"Death"
"GASTROINTESTINAL","Perforation, GI","Stomach",1,"Asymptomatic radiographic findings only"
"GASTROINTESTINAL","Perforation, GI","Stomach",2,"Medical intervention indicated; IV fluids indicated <24 hrs"
"GASTROINTESTINAL","Perforation, GI","Stomach",3,"IV fluids, tube feedings, or TPN indicated >=24 hrs; operative intervention indicated"
"GASTROINTESTINAL","Perforation, GI","Stomach",4,"Life-threatening consequences"
"GASTROINTESTINAL","Perforation, GI","Stomach",5,"Death"
"GASTROINTESTINAL","Proctitis",,1,"Rectal discomfort, intervention not indicated"
"GASTROINTESTINAL","Proctitis",,2,"Symptoms not interfering with ADL; medical intervention indicated"
"GASTROINTESTINAL","Proctitis",,3,"Stool incontinence or other symptoms interfering with ADL; operative intervention indicated"
"GASTROINTESTINAL","Proctitis",,4,"Life-threatening consequences (e.g., perforation)"
"GASTROINTESTINAL","Proctitis",,5,"Death"
"GASTROINTESTINAL","Prolapse of stoma, GI",,1,"Asymptomatic"
"GASTROINTESTINAL","Prolapse of stoma, GI",,2,"Extraordinary local care or maintenance; minor revision indicated"
"GASTROINTESTINAL","Prolapse of stoma, GI",,3,"Dysfunctional stoma; major revision indicated"
"GASTROINTESTINAL","Prolapse of stoma, GI",,4,"Life-threatening consequences"
"GASTROINTESTINAL","Prolapse of stoma, GI",,5,"Death"
"GASTROINTESTINAL","Salivary gland changes/saliva",,1,"Slightly thickened saliva; slightly altered taste (e.g., metallic)"
"GASTROINTESTINAL","Salivary gland changes/saliva",,2,"Thick, ropy, sticky saliva; markedly altered taste; alteration in diet indicated; secretion-induced symptoms not interfering with ADL"
"GASTROINTESTINAL","Salivary gland changes/saliva",,3,"Acute salivary gland necrosis; severe secretion-induced symptoms interfering with ADL"
"GASTROINTESTINAL","Salivary gland changes/saliva",,4,"Disabling"
"GASTROINTESTINAL","Stricture/stenosis (including anastomotic), GI","Anus",1,"Asymptomatic radiographic findings only"
"GASTROINTESTINAL","Stricture/stenosis (including anastomotic), GI","Anus",2,"Symptomatic; altered GI function (e.g., altered dietary habits, vomiting, bleeding, diarrhea); IV fluids indicated <24 hrs"
"GASTROINTESTINAL","Stricture/stenosis (including anastomotic), GI","Anus",3,"Symptomatic and severely altered GI function (e.g., altered dietary habits, diarrhea, or GI fluid loss); IV fluids, tube feedings, or TPN indicated >=24 hrs; operative intervention indicated"
"GASTROINTESTINAL","Stricture/stenosis (including anastomotic), GI","Anus",4,"Life-threatening consequences; operative intervention requiring complete organ resection (e.g., total colectomy)"
"GASTROINTESTINAL","Stricture/stenosis (including anastomotic), GI","Anus",5,"Death"
"GASTROINTESTINAL","Stricture/stenosis (including anastomotic), GI","Biliary tree",1,"Asymptomatic radiographic findings only"
"GASTROINTESTINAL","Stricture/stenosis (including anastomotic), GI","Biliary tree",2,"Symptomatic; altered GI function (e.g., altered dietary habits, vomiting, bleeding, diarrhea); IV fluids indicated <24 hrs"
"GASTROINTESTINAL","Stricture/stenosis (including anastomotic), GI","Biliary tree",3,"Symptomatic and severely altered GI function (e.g., altered dietary habits, diarrhea, or GI fluid loss); IV fluids, tube feedings, or TPN indicated >=24 hrs; operative intervention indicated"
"GASTROINTESTINAL","Stricture/stenosis (including anastomotic), GI","Biliary tree",4,"Life-threatening consequences; operative intervention requiring complete organ resection (e.g., total colectomy)"
"GASTROINTESTINAL","Stricture/stenosis (including anastomotic), GI","Biliary tree",5,"Death"
"GASTROINTESTINAL","Stricture/stenosis (including anastomotic), GI","Cecum",1,"Asymptomatic radiographic findings only"
"GASTROINTESTINAL","Stricture/stenosis (including anastomotic), GI","Cecum",2,"Symptomatic; altered GI function (e.g., altered dietary habits, vomiting, bleeding, diarrhea); IV fluids indicated <24 hrs"
"GASTROINTESTINAL","Stricture/stenosis (including anastomotic), GI","Cecum",3,"Symptomatic and severely altered GI function (e.g., altered dietary habits, diarrhea, or GI fluid loss); IV fluids, tube feedings, or TPN indicated >=24 hrs; operative intervention indicated"
"GASTROINTESTINAL","Stricture/stenosis (including anastomotic), GI","Cecum",4,"Life-threatening consequences; operative intervention requiring complete organ resection (e.g., total colectomy)"
"GASTROINTESTINAL","Stricture/stenosis (including anastomotic), GI","Cecum",5,"Death"
"GASTROINTESTINAL","Stricture/stenosis (including anastomotic), GI","Colon",1,"Asymptomatic radiographic findings only"
"GASTROINTESTINAL","Stricture/stenosis (including anastomotic), GI","Colon",2,"Symptomatic; altered GI function (e.g., altered dietary habits, vomiting, bleeding, diarrhea); IV fluids indicated <24 hrs"
"GASTROINTESTINAL","Stricture/stenosis (including anastomotic), GI","Colon",3,"Symptomatic and severely altered GI function (e.g., altered dietary habits, diarrhea, or GI fluid loss); IV fluids, tube feedings, or TPN indicated >=24 hrs; operative intervention indicated"
"GASTROINTESTINAL","Stricture/stenosis (including anastomotic), GI","Colon",4,"Life-threatening consequences; operative intervention requiring complete organ resection (e.g., total colectomy)"
"GASTROINTESTINAL","Stricture/stenosis (including anastomotic), GI","Colon",5,"Death"
"GASTROINTESTINAL","Stricture/stenosis (including anastomotic), GI","Duodenum",1,"Asymptomatic radiographic findings only"
"GASTROINTESTINAL","Stricture/stenosis (including anastomotic), GI","Duodenum",2,"Symptomatic; altered GI function (e.g., altered dietary habits, vomiting, bleeding, diarrhea); IV fluids indicated <24 hrs"
"GASTROINTESTINAL","Stricture/stenosis (including anastomotic), GI","Duodenum",3,"Symptomatic and severely altered GI function (e.g., altered dietary habits, diarrhea, or GI fluid loss); IV fluids, tube feedings, or TPN indicated >=24 hrs; operative intervention indicated"
"GASTROINTESTINAL","Stricture/stenosis (including anastomotic), GI","Duodenum",4,"Life-threatening consequences; operative intervention requiring complete organ resection (e.g., total colectomy)"
"GASTROINTESTINAL","Stricture/stenosis (including anastomotic), GI","Duodenum",5,"Death"
"GASTROINTESTINAL","Stricture/stenosis (including anastomotic), GI","Esophagus",1,"Asymptomatic radiographic findings only"
"GASTROINTESTINAL","Stricture/stenosis (including anastomotic), GI","Esophagus",2,"Symptomatic; altered GI function (e.g., altered dietary habits, vomiting, bleeding, diarrhea); IV fluids indicated <24 hrs"
"GASTROINTESTINAL","Stricture/stenosis (including anastomotic), GI","Esophagus",3,"Symptomatic and severely altered GI function (e.g., altered dietary habits, diarrhea, or GI fluid loss); IV fluids, tube feedings, or TPN indicated >=24 hrs; operative intervention indicated"
"GASTROINTESTINAL","Stricture/stenosis (including anastomotic), GI","Esophagus",4,"Life-threatening consequences; operative intervention requiring complete organ resection (e.g., total colectomy)"
"GASTROINTESTINAL","Stricture/stenosis (including anastomotic), GI","Esophagus",5,"Death"
"GASTROINTESTINAL","Stricture/stenosis (including anastomotic), GI","Ileum",1,"Asymptomatic radiographic findings only"
"GASTROINTESTINAL","Stricture/stenosis (including anastomotic), GI","Ileum",2,"Symptomatic; altered GI function (e.g., altered dietary habits, vomiting, bleeding, diarrhea); IV fluids indicated <24 hrs"
"GASTROINTESTINAL","Stricture/stenosis (including anastomotic), GI","Ileum",3,"Symptomatic and severely altered GI function (e.g., altered dietary habits, diarrhea, or GI fluid loss); IV fluids, tube feedings, or TPN indicated >=24 hrs; operative intervention indicated"
"GASTROINTESTINAL","Stricture/stenosis (including anastomotic), GI","Ileum",4,"Life-threatening consequences; operative intervention requiring complete organ resection (e.g., total colectomy)"
"GASTROINTESTINAL","Stricture/stenosis (including anastomotic), GI","Ileum",5,"Death"
"GASTROINTESTINAL","Stricture/stenosis (including anastomotic), GI","Jejunum",1,"Asymptomatic radiographic findings only"
"GASTROINTESTINAL","Stricture/stenosis (including anastomotic), GI","Jejunum",2,"Symptomatic; altered GI function (e.g., altered dietary habits, vomiting, bleeding, diarrhea); IV fluids indicated <24 hrs"
"GASTROINTESTINAL","Stricture/stenosis (including anastomotic), GI","Jejunum",3,"Symptomatic and severely altered GI function (e.g., altered dietary habits, diarrhea, or GI fluid loss); IV fluids, tube feedings, or TPN indicated >=24 hrs; operative intervention indicated"
"GASTROINTESTINAL","Stricture/stenosis (including anastomotic), GI","Jejunum",4,"Life-threatening consequences; operative intervention requiring complete organ resection (e.g., total colectomy)"
"GASTROINTESTINAL","Stricture/stenosis (including anastomotic), GI","Jejunum",5,"Death"
"GASTROINTESTINAL","Stricture/stenosis (including anastomotic), GI","Pancreas/pancreatic duct",1,"Asymptomatic radiographic findings only"
"GASTROINTESTINAL","Stricture/stenosis (including anastomotic), GI","Pancreas/pancreatic duct",2,"Symptomatic; altered GI function (e.g., altered dietary habits, vomiting, bleeding, diarrhea); IV fluids indicated <24 hrs"
"GASTROINTESTINAL","Stricture/stenosis (including anastomotic), GI","Pancreas/pancreatic duct",3,"Symptomatic and severely altered GI function (e.g., altered dietary habits, diarrhea, or GI fluid loss); IV fluids, tube feedings, or TPN indicated >=24 hrs; operative intervention indicated"
